aalib 1.4rc5-14
accounts-qml-module 0.7-3
acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40.0-1
alembic 1.8.0-1
alsa-card-profiles 1:0.3.25-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.4-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
alsa-utils 1.2.4-2
aom 3.0.0-2
appstream 0.14.3-1
appstream-qt 0.14.3-1
archlinux-keyring 20210110-1
argon2 20190702-3
aspell 0.60.8-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.0-1
atk 2.36.0-1
atkmm 2.28.1-1
attica 5.81.0-1
attr 2.5.1-1
audacity 1:2.4.1-4
audiofile 0.3.6-6
audit 3.0.1-1
autoconf 2.71-1
autokey-common 0.95.10-4
autokey-qt 0.95.10-4
automake 1.16.3-1
avahi 0.8+15+ge8a3dd0-3
awesome-terminal-fonts 1.1.0-4
babl 0.1.86-1
baloo 5.81.0-1
base 2-2
bash 5.1.004-1
bashtop 0.9.25-1
bc 1.07.1-4
bcg729 1.1.1-1
binutils 2.36.1-2
blas 3.9.1-1
blender 17:2.92.0-4
blosc 1.21.0-1
bluez-libs 5.58-1
boost 1.75.0-3
boost-libs 1.75.0-3
box2d 2.4.1-1
brave-bin 1:1.23.71-1
breeze 5.21.4-1
breeze-icons 5.81.0-1
bridge-utils 1.7.1-1
brotli 1.0.9-4
btrfs-progs 5.11.1-1
bubblewrap 0.4.1-1
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20181109-4
ca-certificates-mozilla 3.64-1
ca-certificates-utils 20181109-4
cabextract 1.9.1-2
cairo 1.17.4-5
cairomm 1.12.2-4
cantarell-fonts 1:0.301-1
cblas 3.9.1-1
ccid 1.4.34-1
ccls 0.20210330-1
cdparanoia 10.2-8
ceph-libs 15.2.10-1
certbot 1.14.0-2
certbot-nginx 1.14.0-1
chromaprint 1.5.0-3
chrome-token-signing 1:1.1.2.520-1
chromium 90.0.4430.85-1
cifs-utils 6.13-1
clang 11.1.0-1
clazy 1.9-2
clucene 2.3.3.4-11
cmake 3.20.1-1
coin 4.0.0.f4e446-2
colord 1.4.5-1
compiler-rt 11.1.0-1
containerd 1.4.4-1
convertlit 1.8-10
coreutils 8.32-1
cpio 2.13-2
cracklib 2.9.7-2
cronie 1.5.7-2
cryptsetup 2.3.5-4
curl 7.76.1-1
dav1d 0.8.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.110-2
dbus-python 1.2.16-4
dconf 0.40.0-1
ddgr 1.9-1
desktop-file-utils 0.26-1
device-mapper 2.03.11-5
dhcpcd 9.4.0-1
diffutils 3.7-3
discord 0.0.14-1
djvulibre 3.5.28-2
dkms 2.8.4-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docker 1:20.10.6-1
docker-compose 1.29.1-1
dosfstools 4.2-1
dotnet-host 5.0.5.sdk202-1
dotnet-runtime 5.0.5.sdk202-1
dotnet-sdk 5.0.5.sdk202-1
dotnet-targeting-pack 5.0.5.sdk202-1
double-conversion 3.1.5-2
e2fsprogs 1.46.2-1
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.4-1
egl-wayland 1.1.6-1
eglexternalplatform 1.1-2
eigen 3.3.9-1
elfutils 0.183-3
embree 3.12.2-1
enchant 2.2.15-2
exiv2 0.27.3-1
expat 2.3.0-1
faad2 2.10.0-1
fakeroot 1.25.3-2
faudio 21.04-1
feh 3.6.3-1
ffmpeg 2:4.3.2-6
fftw 3.3.9-1
file 5.40-2
filesystem 2021.01.19-1
filezilla 3.53.1-1
findutils 4.8.0-1
firefox-developer-edition 89.0b1-1
flac 1.3.3-2
flashplugin 32.0.0.465-1
flex 2.6.4-3
fluidsynth 2.1.8-1
fmt 7.1.3-1
font-mathematica 9.0-6
fontconfig 2:2.13.93-4
frameworkintegration 5.81.0-1
freecad 0.19.1-2
freeglut 3.2.1-2
freeimage 3.18.0-7
freetube-bin 0.12.0-3
freetype2 2.10.4-1
frei0r-plugins 1.7.0-1
fribidi 1.0.10-1
fuse-common 3.10.3-1
fuse2 2.9.9-4
fuse3 3.10.3-1
gavl 1.4.0-4
gawk 5.1.0-1
gc 8.0.4-4
gcc 10.2.0-6
gcc-fortran 10.2.0-6
gcc-libs 10.2.0-6
gconf 3.2.6+11+g07808097-10
gcr 3.40.0-1
gd 2.3.2-2
gdb 10.1-4
gdb-common 10.1-4
gdbm 1.19-2
gdk-pixbuf2 2.42.6-1
gdl 3.34.0-2
gegl 0.4.30-1
geoclue 2.5.7-3
geocode-glib 3.26.2-1
geoip 1.6.12-2
geoip-database 20210323-1
gettext 0.21-1
ghostscript 9.54.0-2
giblib 1.2.4-8
giflib 5.2.1-2
gimp 2.10.24-1
girara 0.3.5-1
git 2.31.1-1
github-cli 1.9.1-1
gl2ps 1.4.2-2
glew 2.2.0-2
glib-networking 1:2.68.0-1
glib2 2.68.1-1
glibc 2.33-4
glibmm 2.66.0-1
glslang 11.2.0-3
glu 9.0.1-2
gmp 6.2.1-1
gnome-keyring 1:40.0-1
gnu-free-fonts 20120503-8
gnupg 2.2.27-1
gnuplot 5.4.1-1
gnutls 3.7.1-1
gobject-introspection-runtime 1.68.0-1
gpgme 1.15.1-1
gpm 1.20.7.r38.ge82d1a6-3
gptfdisk 1.0.7-1
graphene 1.10.6-1
graphicsmagick 1.3.36-1
graphite 1:1.3.14-1
graphviz 2.47.0-1
grep 3.6-1
groff 1.22.4-5
grub 2:2.04-10
gsettings-desktop-schemas 40.0-3
gsfonts 20200910-2
gsl 2.6-2
gsm 1.0.19-1
gst-libav 1.18.4-1
gst-plugins-base 1.18.4-1
gst-plugins-base-libs 1.18.4-1
gst-plugins-good 1.18.4-2
gstreamer 1.18.4-1
